44.1,1.1,0.8097700119018555,0.1,1.3,0.7,87.3,0.0833333358168602,1.2,2.6,12.3,4.6,41.3,3,2,0
42.7,0.2,0.8301544964313508,0,0.9,0.4,83,0,0.6,1.3,11.2,2.9,42.6,4,3,0
46,1.2,0.7688351035118103,0.2,1.9,1.5,90,0.1666666716337204,1.2,1.3,8.6,3.4,43.5,3,2,0
28.3,0.4,0.8461156904697418,0.1,0.7,0.6,58.2,0.0625,1.6,2.2,12.2,3.8,42.9,3,2,0
43.3,0.8,0.7869793176651001,0.2,1.6,1.2,90,0.11764705926179886,1.7,1.8,9.4,3.9,41.9,3,1,0
28,0.5,0.8551570832729339,0.1,0.7,0.6,58.1,0.0625,1.6,1.4,12.2,3.9,43.7,3,4,0
6.9,0.1,0.511841744184494,0,0.4,0.3,33.6,0,0.8,1.8,12.2,4.3,54.1,4,1,0
6.7,0.1,0.436841744184494,0,0.4,0.3,36.5,0,0.9,1.6,11.9,4.7,52.4,0,0,0
5.6,0.2,0.4564846038818359,0,0.5,0.2,23.8,0,0.9,0.7,11.4,4.4,49.8,0,0,0
5.6,0.1,0.4439846038818359,0,0.6,0.3,29.1,0,0.8,0.6,12.7,4.9,51.8,0,0,0
5.9,0.2,0.4250000059604645,0,0.5,0.3,27.7,0,1,1.9,7.8,3.2,42.9,0,0,0
6.2,0.4,0.5376827165484428,0,1.1,0.4,35.7,0,0.8,1.6,10.6,3.6,43.1,5,1,0
6.5,0.3,0.5212121292948723,0,0.8,0.3,36.1,0,0.8,1.6,10.5,3.5,44.3,4,1,0
6.5,0.2,0.4750000074505806,0,0.7,0.4,29.6,0,0.7,1.3,9.2,2.9,43.4,0,0,0
0.7,0,0.26666666865348815,0,0.6,0.3,10.3,0,1.7,2.1,17.9,6.4,57.3,0,0,0
18.8,0.4,0.7562815189361572,0.2,2.4,1,74.7,0.1428571492433548,1.4,1.4,11.8,4.4,48.8,0,0,0
21,0.4,0.7312815189361572,0.2,2.5,1,82,0.1538461595773697,1.3,1.3,12.2,4.2,50.6,0,0,0
20.5,0.5,0.721757709980011,0.2,2.6,1,83.8,0.1666666716337204,1.2,0.8,12.6,4.5,49.1,4,3,0
20.8,0.5,0.6959203898906707,0.2,2.6,1.1,83.8,0.1538461595773697,1.3,1.2,12.2,4.3,49.2,4,1,0
22,0.5,0.6761401712894439,0.2,3,1.3,83.8,0.13333334028720856,1.5,0.6,12.9,5.1,49.7,4,3,0
22,0.6,0.6761401712894439,0.3,3.1,1.3,83.5,0.1875,1.6,1.5,12.2,4.9,51.7,4,1,0
20.8,0.5,0.6670492649078369,0.3,3.1,1.3,77.5,0.2142857164144516,1.4,2.4,11.4,4.6,50.8,4,2,0
42.8,0.2,0.8284329295158386,0,0.4,0.4,89.1,0,1.7,2,11.6,4.4,50.2,2,2,0
42.1,0.2,0.8181029438972474,0,0.4,0.4,86.4,0,1.7,1.9,11.1,3.9,48.2,2,2,0
43.1,0.2,0.7995911478996277,0,0.4,0.4,86.4,0,1.8,1,11.7,3.9,50.8,2,2,0
